,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
45,2020-05-19,180.50164728864215,98.68811683509026,259.18888248083425,180.50164728864215,180.50164728864215,-2.3886757936708505,-2.3886757936708505,-2.3886757936708505,-2.3886757936708505,-2.3886757936708505,-2.3886757936708505,0.0,0.0,0.0,178.1129714949713
46,2020-05-20,182.29710534439135,90.7706089461228,263.97619556002013,182.29710534439135,182.29710534439135,-3.4960425671395523,-3.4960425671395523,-3.4960425671395523,-3.4960425671395523,-3.4960425671395523,-3.4960425671395523,0.0,0.0,0.0,178.80106277725181
47,2020-05-21,184.0925634001406,96.36121018882857,262.4311082390527,184.0925634001406,184.0925634001406,-3.8448379769382828,-3.8448379769382828,-3.8448379769382828,-3.8448379769382828,-3.8448379769382828,-3.8448379769382828,0.0,0.0,0.0,180.2477254232023
48,2020-05-22,185.88802145588983,95.82000170777202,264.1640785381978,185.88802145588983,185.88802145588983,-7.7605618433274905,-7.7605618433274905,-7.7605618433274905,-7.7605618433274905,-7.7605618433274905,-7.7605618433274905,0.0,0.0,0.0,178.12745961256235
49,2020-05-26,193.06988613457517,101.4417425151591,275.607771833351,193.06988613457517,193.06988613457517,-2.3886757936630594,-2.3886757936630594,-2.3886757936630594,-2.3886757936630594,-2.3886757936630594,-2.3886757936630594,0.0,0.0,0.0,190.68121034091212
50,2020-05-27,194.8653523042465,107.19813344729225,283.64556295138726,194.8653523042465,194.8653523042465,-3.4960425671407434,-3.4960425671407434,-3.4960425671407434,-3.4960425671407434,-3.4960425671407434,-3.4960425671407434,0.0,0.0,0.0,191.36930973710577
51,2020-05-28,196.66081847391783,111.09396570092372,285.44983695397974,196.66081847391783,196.66081847391783,-3.8448379769059615,-3.8448379769059615,-3.8448379769059615,-3.8448379769059615,-3.8448379769059615,-3.8448379769059615,0.0,0.0,0.0,192.81598049701188
52,2020-05-29,198.45628464358916,107.15473797329305,281.6290771957945,198.45628464358916,198.45628464358916,-7.760561843364257,-7.760561843364257,-7.760561843364257,-7.760561843364257,-7.760561843364257,-7.760561843364257,0.0,0.0,0.0,190.6957228002249
53,2020-06-01,203.84268315260312,104.85485628479611,284.0298044377007,203.84268315260312,203.84268315260312,-5.865511429687005,-5.865511429687005,-5.865511429687005,-5.865511429687005,-5.865511429687005,-5.865511429687005,0.0,0.0,0.0,197.9771717229161
54,2020-06-02,205.63814932227444,119.46012203088516,291.49725195985786,205.63814932227444,205.63814932227444,-2.3886757936552687,-2.3886757936552687,-2.3886757936552687,-2.3886757936552687,-2.3886757936552687,-2.3886757936552687,0.0,0.0,0.0,203.24947352861918
55,2020-06-03,207.43361549194577,114.6951730249171,288.9847113740255,207.43361549194577,207.43361549194577,-3.4960425671401687,-3.4960425671401687,-3.4960425671401687,-3.4960425671401687,-3.4960425671401687,-3.4960425671401687,0.0,0.0,0.0,203.9375729248056
56,2020-06-04,209.2290816616171,131.09718291513246,291.9076137003167,209.2290816616171,209.2290816616171,-3.8448379769224776,-3.8448379769224776,-3.8448379769224776,-3.8448379769224776,-3.8448379769224776,-3.8448379769224776,0.0,0.0,0.0,205.3842436846946
57,2020-06-05,211.04688982456008,111.33517426437366,286.1819756130134,211.04688982456008,211.04688982456008,-7.760561843368883,-7.760561843368883,-7.760561843368883,-7.760561843368883,-7.760561843368883,-7.760561843368883,0.0,0.0,0.0,203.2863279811912
58,2020-06-08,216.500314313389,131.14293042984826,292.35407881267247,216.500314313389,216.500314313389,-5.86551142969993,-5.86551142969993,-5.86551142969993,-5.86551142969993,-5.86551142969993,-5.86551142969993,0.0,0.0,0.0,210.63480288368908
59,2020-06-09,218.31812247633198,132.05884227287532,300.37226121340206,218.31812247633198,218.31812247633198,-2.3886757936753047,-2.3886757936753047,-2.3886757936753047,-2.3886757936753047,-2.3886757936753047,-2.3886757936753047,0.0,0.0,0.0,215.92944668265667
60,2020-06-10,220.13593063927493,129.77914846202174,304.2688881270041,220.13593063927493,220.13593063927493,-3.4960425671431254,-3.4960425671431254,-3.4960425671431254,-3.4960425671431254,-3.4960425671431254,-3.4960425671431254,0.0,0.0,0.0,216.6398880721318
61,2020-06-11,221.95373880221788,138.4777708426751,299.97256502953553,221.95373880221788,221.95373880221788,-3.8448379769213,-3.8448379769213,-3.8448379769213,-3.8448379769213,-3.8448379769213,-3.8448379769213,0.0,0.0,0.0,218.1089008252966
